"id","lead_id","type","content","created_at"
"29405491-2923-465c-95ff-1d99bf0cfc3e","Lead-26-2","NOTE","Lead created manually.","2026-04-07 08:22:45.705"
"6e373f2d-8cbc-48f2-8dcd-574e34f79f27","Lead-26-1","NOTE","send proposal regarding drone training program","2026-04-07 08:20:29.808"
"9344b350-0cf7-4e42-86f4-a11b7060622a","Lead-26-2","NOTE","Send proposal regarding drone training program","2026-04-07 08:24:04.463"
"cf965512-8ff7-4d7f-9bab-2fff81836d37","Lead-26-1","NOTE","Lead created manually.","2026-04-07 08:19:51.207"
